pmid	gene_set_name	target_id	disease_id	disease_name	score
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000171314	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	48.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000079246	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	48.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000198793	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	48
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000118007	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	48
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000116670	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.8056
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000116688	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.5625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000105254	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.5625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000176261	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.5625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000165629	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000010292	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000099956	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000115163	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000100209	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000198554	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	47.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000168496	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	46.8333
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000113575	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	46.6667
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000101158	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	46.375
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000176108	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	46.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000196365	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	46.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000127804	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	46.25
